Number,City,Gender,Age,Income,Illness
1,Dallas,Male,41,40367.0,No
2,Dallas,Male,54,45084.0,No
3,Dallas,Male,42,52483.0,No
4,Dallas,Male,40,40941.0,No
5,Dallas,Male,46,50289.0,No
6,Dallas,Female,36,50786.0,No
7,Dallas,Female,32,33155.0,No
8,Dallas,Male,39,30914.0,No
9,Dallas,Male,51,68667.0,No
10,Dallas,Female,30,50082.0,No
11,Dallas,Female,48,41524.0,Yes
12,Dallas,Male,47,54777.0,No
13,Dallas,Male,46,62749.0,No
14,Dallas,Female,42,50894.0,No
15,Dallas,Female,61,38429.0,No
16,Dallas,Male,43,34074.0,No
17,Dallas,Male,27,50398.0,No
18,Dallas,Male,38,46373.0,Yes
19,Dallas,Male,47,51137.0,No
20,Dallas,Female,35,23688.0,No
21,Dallas,Male,57,17378.0,No
22,Dallas,Male,33,45919.0,No
23,Dallas,Female,33,23001.0,No
24,Dallas,Female,27,34292.0,Yes
25,Dallas,Male,58,55190.0,No
26,Dallas,Male,64,26169.0,No
27,Dallas,Male,58,57322.0,No
28,Dallas,Male,44,61704.0,No
29,Dallas,Male,34,53619.0,No
30,Dallas,Male,45,47421.0,Yes
31,Dallas,Female,44,40353.0,No
32,Dallas,Male,39,28125.0,No
33,Dallas,Female,55,42630.0,No
34,Dallas,Male,27,56645.0,No
35,Dallas,Female,63,41946.0,No
36,Dallas,Male,41,50312.0,No
37,Dallas,Male,64,47872.0,No
38,Dallas,Female,41,29538.0,No
39,Dallas,Female,61,39881.0,Yes
40,Dallas,Female,59,48518.0,No
41,Dallas,Female,26,16168.0,Yes
42,Dallas,Male,41,68522.0,No
43,Dallas,Female,47,50750.0,No
44,Dallas,Female,58,49614.0,No
45,Dallas,Male,33,56169.0,No
46,Dallas,Female,30,40661.0,No
47,Dallas,Male,51,53730.0,No
48,Dallas,Female,45,34613.0,No
49,Dallas,Female,38,35249.0,No
50,Dallas,Female,56,52218.0,No
51,Dallas,Female,55,47702.0,No
52,Dallas,Male,42,62512.0,No
53,Dallas,Female,58,48655.0,No
54,Dallas,Male,57,55133.0,No
55,Dallas,Male,32,39309.0,No
56,Dallas,Female,55,41036.0,No
57,Dallas,Male,62,60594.0,No
58,Dallas,Female,43,46373.0,No
59,Dallas,Male,35,53303.0,No
60,Dallas,Female,31,42281.0,No
61,Dallas,Female,46,48268.0,No
62,Dallas,Male,49,36223.0,No
63,Dallas,Female,54,36552.0,No
64,Dallas,Female,63,36222.0,No
65,Dallas,Female,58,53333.0,No
66,Dallas,Female,53,40244.0,No
67,Dallas,Male,61,53713.0,No
68,Dallas,Male,44,42823.0,No
69,Dallas,Male,51,44030.0,Yes
70,Dallas,Female,44,25604.0,No
71,Dallas,Female,38,31953.0,Yes
72,Dallas,Female,57,46137.0,No
73,Dallas,Male,44,50089.0,No
74,Dallas,Male,27,53213.0,No
75,Dallas,Female,41,27897.0,No
76,Dallas,Male,43,26997.0,No
77,Dallas,Male,46,29374.0,No
78,Dallas,Male,55,44003.0,No
79,Dallas,Male,53,58625.0,No
80,Dallas,Female,43,52935.0,No
81,Dallas,Male,46,60637.0,No
82,Dallas,Male,46,27092.0,Yes
83,Dallas,Male,43,49741.0,No
84,Dallas,Female,51,31416.0,No
85,Dallas,Female,40,46882.0,No
86,Dallas,Female,34,33246.0,No
87,Dallas,Female,58,32567.0,No
88,Dallas,Male,29,49798.0,No
89,Dallas,Male,28,38119.0,No
90,Dallas,Female,30,27446.0,No
91,Dallas,Male,28,54937.0,No
92,Dallas,Female,25,34653.0,No
93,Dallas,Male,37,63495.0,No
94,Dallas,Female,62,38385.0,No
95,Dallas,Male,45,40789.0,No
96,Dallas,Male,48,62287.0,No
97,Dallas,Female,30,47982.0,No
98,Dallas,Male,44,47860.0,Yes
99,Dallas,Male,62,49231.0,No
100,Dallas,Female,48,42252.0,Yes
101,Dallas,Male,46,68275.0,No
102,Dallas,Male,48,48433.0,No
103,Dallas,Male,61,42379.0,No
104,Dallas,Male,63,44965.0,No
105,Dallas,Female,56,40122.0,No
106,Dallas,Male,63,48512.0,No
107,Dallas,Female,48,47466.0,Yes
108,Dallas,Male,47,30382.0,No
109,Dallas,Female,38,46733.0,No
110,Dallas,Female,64,40960.0,No
111,Dallas,Male,46,39085.0,No
112,Dallas,Female,59,49691.0,No
113,Dallas,Male,39,53649.0,No
114,Dallas,Male,38,37010.0,No
115,Dallas,Male,58,46788.0,Yes
116,Dallas,Male,59,61700.0,No
117,Dallas,Male,48,58460.0,Yes
118,Dallas,Female,31,19155.0,No
119,Dallas,Female,54,56868.0,No
120,Dallas,Male,46,46954.0,No
121,Dallas,Male,43,64376.0,Yes
122,Dallas,Male,38,35911.0,No
123,Dallas,Female,28,48836.0,No
124,Dallas,Male,62,62174.0,No
125,Dallas,Female,62,46385.0,No
126,Dallas,Female,32,52215.0,No
